Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Gender,Total Years of Experince within EFG Hermes,2022 Performance Appraisal,2021 Performance Appraisal,2020 Performance Appraisal,2019 Performance Appraisal,2018 Performance Appraisal,2023 Promotions,2022 Promotions,2021 Promotions,2020 Promotions,2019 Promotions
Business Partner,Administration,Administration,2403,1-Apr-19,Procurement System Supervisor,Senior Specialist,120,Egypt - Head Office,Male,4 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Hired 2019,,Specialist - B - Senior Specialist - C: Mar 2022,,,
Business Partner,Administration,Administration,1654,5-Mar-06,Administration Supervisor,Senior Specialist,441,Egypt - Head Office,Male,17 Year(s) 3 Month(s) 15 Day(s),Meets Expectations,Meets Expectations,Needs Development,Meets Expectations,Meets Expectations,,,,,Specialist - A - Senior Specialist: Mar 2019
Business Partner,Administration,Administration,1802,1-Jan-14,Senior Administration Supervisor,Senior Specialist,516,UAE - One Central,Female,9 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Administration,Administration,511,1-Aug-04,Public Relations Supervisor,Senior Specialist,577,UAE - DIFC,Male,18 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Administration,Administration,2101,26-Sep-17,Senior HR & Administration Supervisor,Senior Specialist,892,KSA - Riyadh,Male,5 Year(s) 8 Month(s) 24 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,Specialist - A - Senior Specialist - C: Apr 2022,,,
Business Partner,Administration,Administration,249,16-Jun-95,Administration Officer,Senior Specialist,1089,Egypt - Head Office,Female,28 Year(s) 0 Month(s) 4 Day(s),N/A,N/A,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Partner,Administration,Administration,2445,1-Sep-19,Senior Administration Officer,Specialist,516,UAE - DIFC,Female,3 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,Hired 2019,,,,,
Business Partner,Administration,Administration,2414,26-May-19,Travel Desk Officer,Specialist,880,Egypt - Head Office,Female,4 Year(s) 0 Month(s) 24 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Hired 2019,,Junior - A - Specialist - C: Mar 2022,,,
Business Partner,Administration,Administration,2725,1-Mar-22,Travel Desk Officer,Specialist,880,Egypt - Head Office,Female,1 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Administration,Administration,2103,1-Sep-17,Senior Office Coordinator,Specialist,2047,Kenya - Nairobi,Female,5 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Junior - A - Specialist - C :Mar 2020,
Business Partner,Administration,Administration,2168,5-Feb-18,Senior Sales Support Coordinator,Specialist,2087,UK - London,Female,5 Year(s) 4 Month(s) 15 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,,,,Junior - A - Specialist - C :Mar 2020,
Business Partner,Administration,Administration,1731,2-Jun-12,Senior Administration Officer,Specialist,2101,KSA - Riyadh,Male,11 Year(s) 0 Month(s) 18 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Administration,Administration,2199,1-Jun-06,Administration Supervisor,Specialist,2360,Pakistan - Karachi,Male,17 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Needs Development,,,,,
Business Line,Asset Management,Asset Management,2617,15-Jun-21,Analyst,Analyst,2421,Egypt - Head Office,Male,2 Year(s) 0 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Asset Management,Asset Management,2142,3-Dec-17,Associate,Associate,1296,Egypt - Head Office,Male,5 Year(s) 6 Month(s) 17 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Above Expectations,,,Analyst - Associate: Mar 2021,,
Business Line,Asset Management,Asset Management,1707,15-Feb-11,Associate Director,Associate Director,748,Egypt - Head Office,Male,12 Year(s) 4 Month(s) 5 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,Vice President - Associate Director: Mar 2023,,,Associate VP - Vice President:Mar 2020,
Business Line,Asset Management,Asset Management,1702,12-Dec-10,Associate Director,Associate Director,1635,Egypt - Head Office,Male,12 Year(s) 6 Month(s) 8 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Above Expectations,Meets Expectations,,Vice President - Associate Director: Mar 2022,,,Associate VP - Vice President: Mar 2019
Business Line,Asset Management,Asset Management,2647,1-Oct-21,Associate Vice President,Associate VP,746,Egypt - Head Office,Female,1 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,Associate - Associate VP: Mar 2023,,,,
Business Line,Asset Management,Asset Management,2852,12-Feb-23,Associate Vice President,Associate VP,746,Egypt - Head Office,Female,0 Year(s) 4 Month(s) 8 Day(s),Hired 2023,Hired 2023,Hired 2023,Hired 2023,Hired 2023,,,,,
Business Line,Asset Management,Asset Management,2801,1-Aug-22,Associate Vice President,Associate VP,1702,Egypt - Head Office,Male,0 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Asset Management,Asset Management,746,14-Aug-06,Director,Director,1850,Egypt - Head Office,Male,16 Year(s) 10 Month(s) 6 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,Associate Director - Director: Mar 2022,,Vice President - Associate Director:Mar 2020,
Business Line,Asset Management,Asset Management,2640,1-Sep-21,Director,Director,1850,Egypt - Head Office,Male,1 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Asset Management,Asset Management,621,1-Dec-05,Managing Director,Managing Director,1277,Egypt - Head Office,Female,17 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,,,,,
Business Line,Asset Management,Asset Management,1635,24-Aug-10,"Head of Asset Management, Egypt",Managing Director,1277,Egypt - Head Office,Male,12 Year(s) 9 Month(s) 26 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Asset Management,Asset Management,748,14-Aug-06,Managing Director,Managing Director,1635,Egypt - Head Office,Male,16 Year(s) 10 Month(s) 6 Day(s),Meets Expectations,Above Expectations,Above Expectations,Above Expectations,Meets Expectations,,Director - Managing Director: May 2022,,,
Business Line,Asset Management,Asset Management,1296,4-Nov-08,Managing Director,Managing Director,1635,Egypt - Head Office,Male,14 Year(s) 7 Month(s) 16 Day(s),Meets Expectations,Above Expectations,Above Expectations,Above Expectations,Meets Expectations,,Director - Managing Director: May 2022,,,
Business Line,Asset Management,Asset Management,1850,6-Nov-14,Managing Director,Managing Director,1635,Egypt - Head Office,Male,8 Year(s) 7 Month(s) 14 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Above Expectations,Meets Expectations,,,,Director - Managing Director: Jul 2020,
Business Partner,Asset Management,Asset Management,1698,1-Nov-10,Senior Team Assistant,Professional,1635,Egypt - Head Office,Female,12 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,Senior Specialist - B - Professional - C: Mar 2019
Business Line,Asset Management,Asset Management,2421,1-Jun-19,Vice President,Vice President,1850,Egypt - Head Office,Male,4 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Above Expectations,Above Expectations,Hired 2019,,Associate VP - Vice President: Mar 2022,,Associate - Associate VP:Mar 2020,
Business Partner,Asset Management Operations,Asset Management Operations,2777,15-May-22,Analyst,Analyst,781,Egypt - Head Office,Male,1 Year(s) 1 Month(s) 5 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Asset Management Operations,Asset Management Operations,2805,15-Aug-22,Analyst,Analyst,781,Egypt - Head Office,Male,0 Year(s) 10 Month(s) 5 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Asset Management Operations,Asset Management Operations,2541,1-Nov-20,Associate,Associate,781,Egypt - Head Office,Female,2 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,,Analyst - Associate: Mar 2022,,,
Business Partner,Asset Management Operations,Asset Management Operations,1965,1-May-16,Associate Vice President,Associate VP,781,Egypt - Head Office,Female,7 Year(s) 1 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,Associate - Associate VP: Mar 2021,,
Business Partner,Asset Management Operations,Asset Management Operations,2107,1-Sep-17,Associate Vice President,Associate VP,781,Egypt - Head Office,Male,5 Year(s) 9 Month(s) 19 Day(s),Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,Associate - Associate VP: Mar 2022,,,Analyst - Associate: Mar 2019
Business Partner,Asset Management Operations,Asset Management Operations,2348,1-Sep-18,Associate Vice President,Associate VP,781,Egypt - Head Office,Male,4 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,Hired 2018,Associate - Associate VP: Mar 2023,,,Analyst - Associate:Mar 2020,
Business Partner,Asset Management Operations,Asset Management Operations,781,1-Nov-06,Director,Director,290,Egypt - Head Office,Male,16 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Above Expectations,Meets Expectations,,,,,
Business Partner,Asset Management Operations,Asset Management Operations,853,1-Mar-07,Vice President,Vice President,781,Egypt - Head Office,Male,16 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,Associate VP - Vice President: Mar 2021,,
Business Partner,Asset Management Operations,Asset Management Operations,1834,1-Jul-14,Vice President,Vice President,781,Egypt - Head Office,Female,8 Year(s) 11 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Associate VP - Vice President: Mar 2023,,,Associate - Associate VP:Mar 2020,
Business Partner,Asset Management Operations,Asset Management Operations,2039,5-Mar-17,Vice President,Vice President,781,Egypt - Head Office,Male,6 Year(s) 3 Month(s) 15 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Above Expectations,Meets Expectations,,Associate VP - Vice President: Mar 2022,,,Associate - Associate VP: Mar 2019
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2447,22-Sep-19,Assistant Account Officer,Analyst,136,Egypt - Alex - Somouha,Male,3 Year(s) 8 Month(s) 28 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,Hired 2019,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2654,1-Nov-21,Assistant Account Officer,Analyst,136,Egypt - Alex - Somouha,Male,1 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2672,1-Dec-21,Account Officer,Analyst,136,Egypt - Alex - Somouha,Male,1 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2477,1-Dec-19,Account Officer,Analyst,143,Egypt - Mansoura,Female,3 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,Hired 2019,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2679,15-Dec-21,Assistant Account Officer,Analyst,346,Egypt - Head Office,Female,1 Year(s) 6 Month(s) 5 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2828,2-Oct-22,Assistant Account Officer,Analyst,346,Egypt - Head Office,Male,0 Year(s) 8 Month(s) 18 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Branches Mgmt. Customer Service",2321,1-Aug-18,Customer Service Junior Officer,Analyst,572,Egypt - Tanta,Female,4 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Hired 2018,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2564,1-Feb-21,Account Officer,Analyst,576,Egypt - Maadi,Female,2 Year(s) 4 Month(s) 19 Day(s),Needs Development,Needs Development,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2840,1-Dec-22,Assistant Account Officer,Analyst,576,Egypt - Maadi,Male,0 Year(s) 6 Month(s) 19 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, MENA Family Offices & HNWI Sales",2768,1-May-22,"Analyst, MENA Family Offices & HNWI Sales",Analyst,604,Egypt - Head Office,Female,1 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2657,9-Nov-21,Customer Relations Officer,Analyst,926,Egypt - Head Office,Female,1 Year(s) 7 Month(s) 11 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2875,15-May-23,Customer Relations Officer,Analyst,926,Egypt - Head Office,Male,0 Year(s) 1 Month(s) 5 Day(s),Hired 2023,Hired 2023,Hired 2023,Hired 2023,Hired 2023,,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2808,1-Sep-22,Online Trading Officer,Analyst,1332,Egypt - Head Office,Male,0 Year(s) 9 Month(s) 19 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2823,5-Oct-22,Online Trading Officer,Analyst,1332,Egypt - Head Office,Female,0 Year(s) 8 Month(s) 15 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Global Markets Support",2708,1-Feb-22,Global Markets Support Junior Officer,Analyst,1352,Egypt - Head Office,Male,1 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,Brokerage,2717,14-Feb-22,"Analyst, Frontier Institutional Sales",Analyst,2047,Kenya - Nairobi,Female,1 Year(s) 4 Month(s) 6 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2430,1-Aug-19,Senior Account Coordinator,Associate,346,Egypt - Head Office,Male,3 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Hired 2019,Hired 2019,,,Analyst - Associate: Mar 2021,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2688,1-Jan-22,Senior Account Officer,Associate,572,Egypt - Tanta,Male,1 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2370,11-Nov-18,Account Officer,Associate,576,Egypt - Maadi,Male,4 Year(s) 7 Month(s) 9 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Hired 2018,,Analyst - Associate: Mar 2022,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2630,1-Aug-21,Assistant Account Officer,Associate,576,Egypt - Maadi,Male,1 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2830,1-Nov-22,Account Officer,Associate,576,Egypt - Maadi,Male,0 Year(s) 7 Month(s) 19 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, MENA Family Offices & HNWI Sales",2503,9-Feb-20,"Associate, MENA Family Offices & HNWI Sales",Associate,604,Egypt - Head Office,Male,3 Year(s) 4 Month(s) 11 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,Hired 2019,,,Analyst - Associate: Mar 2021,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2636,15-Aug-21,Call Center Officer,Associate,841,Egypt - Head Office,Female,1 Year(s) 10 Month(s) 5 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,Analyst - Associate: Mar 2023,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2666,15-Nov-21,Call Center Officer,Associate,841,UAE - DFM,Male,1 Year(s) 7 Month(s) 5 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,Analyst - Associate: Mar 2023,,,,
Business Line,Brokerage,"Brokerage, Institutional Trading",2443,1-Sep-19,"Associate, Institutional Trading",Associate,951,UAE - One Central,Female,3 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Hired 2019,Hired 2019,,,Analyst - Associate: Mar 2021,,
Business Line,Brokerage,"Brokerage, Global Markets Support",2522,11-Jun-20,Global Markets Support Officer,Associate,1034,Egypt - Head Office,Male,3 Year(s) 0 Month(s) 9 Day(s),Above Expectations,Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,,Analyst - Associate: Mar 2022,,,
Business Line,Brokerage,"Brokerage, Branches Followup",2021,1-Dec-16,"Associate, Branches Follow Up",Associate,1163,Egypt - Head Office,Male,6 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,Analyst - Associate: Mar 2019
Business Line,Brokerage,"Brokerage, Global Markets Support",2618,15-Jun-21,Global Markets Support Officer,Associate,1352,Egypt - Head Office,Male,2 Year(s) 0 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Order Taking",1410,5-Jun-99,Order Taker,Associate,1387,Kuwait - Head Office,Male,24 Year(s) 0 Month(s) 15 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Order Taking",1413,25-Oct-92,Order Taker,Associate,1387,Kuwait - Head Office,Male,30 Year(s) 7 Month(s) 25 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,Brokerage,2120,23-Oct-17,"Associate, Client Coverage & Business Development",Associate,2047,Kenya - Nairobi,Female,5 Year(s) 7 Month(s) 27 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,,,Analyst - Associate: Mar 2021,,
Business Line,Brokerage,"Brokerage, Branches Mgmt. Customer Service",2153,15-Jan-18,Customer Service Officer,Associate,2112,Egypt - Sohag,Male,5 Year(s) 5 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2254,1-Mar-18,Account Officer,Associate,2112,Egypt - Sohag,Male,5 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading – Execution",2539,1-Nov-20,"Associate, Trading Desk – Execution",Associate,2360,Pakistan - Karachi,Male,2 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",695,1-Mar-06,Senior Account Manager,Associate Director,136,Egypt - Alex - Somouha,Male,17 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,Vice President - Associate Director: Mar 2021,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",861,2-May-07,Senior Account Manager,Associate Director,136,Egypt - Alex - Somouha,Male,16 Year(s) 1 Month(s) 18 Day(s),Above Expectations,Meets Expectations,Above Expectations ,Above Expectations ,Meets Expectations,,,Vice President - Associate Director: Mar 2021,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1318,10-Jun-09,Senior Account Manager,Associate Director,136,Egypt - Alex - Somouha,Male,14 Year(s) 0 Month(s) 10 Day(s),Meets Expectations,Meets Expectations,Above Expectations ,Meets Expectations ,Meets Expectations,Vice President - Associate Director: Mar 2023,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",841,8-Nov-09,Call Center Manager,Associate Director,169,UAE - DFM,Female,13 Year(s) 7 Month(s) 12 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,Vice President - Associate Director: Mar 2021,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",981,1-Oct-07,Contact Center Manager,Associate Director,169,Egypt - Head Office,Male,15 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, Branches Management",143,1-Aug-00,Branch Manager,Associate Director,188,Egypt - Mansoura,Male,22 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
